trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.5, 'e': 0.7996846584870906}",25,0,-242.93331028284675,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 5}",0
165,False,"{'a': 0.5, 'e': 0.7973206537727072}",20,0,-146.55290897739744,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
166,False,"{'a': 0.5, 'e': 0.79494435338751}",25,0,-74.6999447110405,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.7925557939769908}",25,3,-85.11286323208166,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
168,False,"{'a': 0.5, 'e': 0.7901550123756904}",30,0,-186.2225717932779,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.7877420456066309}",20,0,-98.22393173200966,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.785316930880745}",20,0,-21.681143745990884,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.7828797055963016}",20,3,-37.57076971542587,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.7804304073383298}",35,0,-39.214071522018536,"{0: 24, 1: 8, 2: 3, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.7779690738780385}",25,0,23.369547260599504,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.7754957431722346}",20,2,-40.208636097111636,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.7730104533627371}",30,0,-137.34604278985415,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.7705132427757893}",20,0,-76.93245855723538,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.7680041499214677}",20,0,-42.7994686427718,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.7654832134930881}",25,0,-95.49939597453421,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.7629504723666087}",25,0,-133.71281845891374,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.760405965600031}",30,22,-5.649701991345985,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.7578497324327967}",30,15,-79.74014995717322,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 2}",1
182,False,"{'a': 0.5, 'e': 0.7552818122851837}",20,0,-89.45321641730052,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
183,False,"{'a': 0.5, 'e': 0.7527022447576972}",20,12,3.3865590282445304,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
