trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
368,False,"{'a': 0.5, 'e': 0.12533323356430448}",25,14,-4.317554125108456,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.12143625185968471}",25,11,13.328188845902751,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
370,False,"{'a': 0.5, 'e': 0.1175373974578377}",30,21,16.467000677110175,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.5, 'e': 0.11363673048392121}",30,5,30.236901633843004,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
372,False,"{'a': 0.5, 'e': 0.10973431109104537}",20,12,14.41061917295137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.5, 'e': 0.10583019945934469}",20,8,7.937097875048341,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
374,False,"{'a': 0.5, 'e': 0.10192445579504995}",20,5,18.604471387223768,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
375,False,"{'a': 0.5, 'e': 0.09801714032956077}",25,6,-28.17225045220828,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
376,False,"{'a': 0.5, 'e': 0.09410831331851428}",20,12,8.211187255137052,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.5, 'e': 0.09019803504085935}",25,16,17.725718540873974,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.5, 'e': 0.08628636579792338}",20,3,28.364033744363653,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.08237336591248573}",20,11,-46.308848080904816,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
380,False,"{'a': 0.5, 'e': 0.078459095727845}",20,0,15.502795624182863,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
381,False,"{'a': 0.5, 'e': 0.07454361560688963}",25,3,31.608640379936315,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.5, 'e': 0.07062698593116677}",25,7,15.90901516828618,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
383,False,"{'a': 0.5, 'e': 0.06670926709995113}",20,3,28.50821282427835,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.5, 'e': 0.06279051952931351}",20,14,10.307571894822258,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.5, 'e': 0.058870803651188984}",20,13,8.834077166629475,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.5, 'e': 0.05495017991244594}",25,15,18.180252130946855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.5, 'e': 0.0510287087739516}",20,11,8.694325713530223,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.5, 'e': 0.04710645070964268}",20,6,21.99063685928952,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,15,9.770136296431852,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,4,23.37456155112841,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,9,20.97854194125344,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,21,26.564023085566287,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,13,12.225753648213917,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,19,12.130225573959498,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,19,21.486291580641467,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,12,11.146892073414245,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,8,23.953965462795875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,7,23.5785351738641,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
